candidate_number,take_trade,skip_reason,fvg_ts,entry_ts,direction,symbol,gap_low,gap_high,gap_mid,gap_width,entry_price,stop_price,natural_risk_points,risk_points,max_sl,stop_was_capped,exit_ts,final_exit_price,tp1_hit,tp2_hit,tp3_hit,stopped,closed_eod,contract_points,mnq_profit_dollars,largest_open_adverse_points,result
85,true,"",2026-03-16T04:00:00.000000,2026-03-16T07:39:00.000000,bull,NQM6,24496.75,24716.0,24606.375,219.25,24716.0,24616.0,219.25,100.0,100,true,2026-03-16T08:20:00.000000,24716.0,true,true,false,true,false,75.0,150.0,0.0,tp2_partial_or_eod
86,true,"",2026-03-16T12:00:00.000000,2026-03-16T14:50:00.000000,bull,NQM6,24799.0,24833.25,24816.125,34.25,24833.25,24799.0,34.25,34.25,100,false,2026-03-16T14:59:00.000000,24908.25,true,true,true,false,false,150.0,300.0,0.0,tp3
87,true,"",2026-03-17T16:00:00.000000,2026-03-17T16:07:00.000000,bull,NQM6,24860.25,24946.25,24903.25,86.0,24946.25,24860.25,86.0,86.0,100,false,2026-03-17T16:24:00.000000,25021.25,true,true,true,false,false,150.0,300.0,0.0,tp3
88,true,"",2026-03-18T04:00:00.000000,2026-03-18T04:41:00.000000,bull,NQM6,25030.0,25130.5,25080.25,100.5,25130.5,25030.5,100.5,100.0,100,true,2026-03-18T06:25:00.000000,25205.5,true,true,true,false,false,150.0,300.0,0.0,tp3
90,true,"",2026-03-18T16:00:00.000000,2026-03-18T18:04:00.000000,bear,NQM6,24916.5,25097.5,25007.0,181.0,24916.5,25016.5,181.0,100.0,100,true,2026-03-18T18:15:00.000000,24841.5,true,true,true,false,false,150.0,300.0,0.0,tp3
84,true,"",2026-03-16T00:00:00.000000,2026-03-18T19:59:00.000000,bull,NQM6,24400.25,24647.0,24523.625,246.75,24647.0,24547.0,246.75,100.0,100,true,2026-03-18T20:03:00.000000,24647.0,true,false,false,true,false,25.0,50.0,-1.0,tp1_partial_or_be
92,true,"",2026-03-20T20:00:00.000000,2026-03-20T20:59:00.000000,bear,NQM6,24219.75,24231.25,24225.5,11.5,24219.75,24231.25,11.5,11.5,100,false,2026-03-21T19:30:00.000000,24219.75,false,false,false,false,true,0.0,0.0,0.0,eod
93,true,"",2026-03-23T00:00:00.000000,2026-03-23T00:23:00.000000,bear,NQM6,24091.0,24096.0,24093.5,5.0,24091.0,24096.0,5.0,5.0,100,false,2026-03-23T00:33:00.000000,24016.0,true,true,true,false,false,150.0,300.0,0.0,tp3
94,true,"",2026-03-23T12:00:00.000000,2026-03-23T12:01:00.000000,bull,NQM6,24033.75,24345.0,24189.375,311.25,24345.0,24245.0,311.25,100.0,100,true,2026-03-23T12:04:00.000000,24420.0,true,true,true,false,false,150.0,300.0,0.0,tp3
95,true,"",2026-03-26T20:00:00.000000,2026-03-26T20:12:00.000000,bear,NQM6,24022.25,24030.25,24026.25,8.0,24022.25,24030.25,8.0,8.0,100,false,2026-03-26T20:15:00.000000,23947.25,true,true,true,false,false,150.0,300.0,0.0,tp3
98,true,"",2026-03-27T20:00:00.000000,2026-03-27T20:01:00.000000,bear,NQM6,23330.5,23440.0,23385.25,109.5,23330.5,23430.5,109.5,100.0,100,true,2026-03-27T20:20:00.000000,23255.5,true,true,true,false,false,150.0,300.0,0.0,tp3
99,true,"",2026-03-29T20:00:00.000000,2026-03-29T22:22:00.000000,bear,NQM6,23242.25,23269.0,23255.625,26.75,23242.25,23269.0,26.75,26.75,100,false,2026-03-29T22:45:00.000000,23167.25,true,true,true,false,false,150.0,300.0,0.0,tp3
100,true,"",2026-03-30T04:00:00.000000,2026-03-30T04:03:00.000000,bull,NQM6,23242.25,23288.25,23265.25,46.0,23288.25,23242.25,46.0,46.0,100,false,2026-03-30T06:02:00.000000,23363.25,true,true,true,false,false,150.0,300.0,0.0,tp3
101,true,"",2026-03-30T08:00:00.000000,2026-03-30T10:43:00.000000,bull,NQM6,23306.5,23373.25,23339.875,66.75,23373.25,23306.5,66.75,66.75,100,false,2026-03-30T11:18:00.000000,23448.25,true,true,true,false,false,150.0,300.0,0.0,tp3
97,true,"",2026-03-27T16:00:00.000000,2026-03-30T11:26:00.000000,bear,NQM6,23556.75,23608.25,23582.5,51.5,23556.75,23608.25,51.5,51.5,100,false,2026-03-30T11:29:00.000000,23481.75,true,true,true,false,false,150.0,300.0,0.0,tp3
