tier,conditions,entry_model,target_model,mbp_overlay,trades,winrate,profit_factor,net_points,avg_trade
B,CORE_ONLY,5pt_pullback,25pt_target,tight_spread,434,0.5461,1.535,2065.0,4.76
B,CORE_ONLY,15pt_pullback,25pt_target,tight_spread,434,0.5461,1.535,2065.0,4.76
B,CORE_ONLY,5pt_pullback,25pt_target,NO_MBP_FILTER,452,0.5398,1.495,2020.0,4.47
B,CORE_ONLY,15pt_pullback,25pt_target,NO_MBP_FILTER,452,0.5398,1.495,2020.0,4.47
B,CORE_ONLY,5pt_pullback,25pt_target,NO_MBP_FILTER,452,0.5398,1.495,2020.0,4.47
B,low_volatility,5pt_pullback,25pt_target,NO_MBP_FILTER,152,0.5395,1.53,710.0,4.67
B,low_volatility,5pt_pullback,25pt_target,tight_spread,152,0.5395,1.53,710.0,4.67
B,large_premarket & green_bar,15pt_pullback,25pt_target,tight_spread,248,0.5363,1.458,1045.0,4.21
B,large_premarket & green_bar,5pt_pullback,25pt_target,tight_spread,248,0.5363,1.458,1045.0,4.21
B,below_vwap & large_premarket,15pt_pullback,20pt_target,NO_MBP_FILTER,170,0.5353,1.167,260.0,1.53
B,below_vwap & large_premarket,5pt_pullback,20pt_target,NO_MBP_FILTER,170,0.5353,1.167,260.0,1.53
B,below_vwap & large_premarket,15pt_pullback,20pt_target,NO_MBP_FILTER,170,0.5353,1.167,260.0,1.53
B,below_vwap & large_premarket,5pt_pullback,20pt_target,NO_MBP_FILTER,170,0.5353,1.167,260.0,1.53
B,below_vwap & large_premarket,15pt_pullback,20pt_target,NO_MBP_FILTER,170,0.5353,1.167,260.0,1.53
B,below_vwap & large_premarket,15pt_pullback,20pt_target,NO_MBP_FILTER,170,0.5353,1.167,260.0,1.53
B,below_vwap & large_premarket,15pt_pullback,20pt_target,tight_spread,161,0.5342,1.162,240.0,1.49
B,below_vwap & large_premarket,15pt_pullback,20pt_target,tight_spread,161,0.5342,1.162,240.0,1.49
B,below_vwap & large_premarket,15pt_pullback,20pt_target,tight_spread,161,0.5342,1.162,240.0,1.49
B,below_vwap & large_premarket,5pt_pullback,20pt_target,tight_spread,161,0.5342,1.162,240.0,1.49
B,below_vwap & large_premarket,5pt_pullback,20pt_target,tight_spread,161,0.5342,1.162,240.0,1.49
B,below_vwap & large_premarket,15pt_pullback,20pt_target,tight_spread,161,0.5342,1.162,240.0,1.49
B,green_bar,15pt_pullback,30pt_target,positive_quote_pressure,15,0.5333,1.714,100.0,6.67
B,green_bar,15pt_pullback,30pt_target,positive_quote_pressure,15,0.5333,1.714,100.0,6.67
B,large_premarket & green_bar,15pt_pullback,30pt_target,positive_quote_pressure,15,0.5333,1.714,100.0,6.67
B,large_premarket & green_bar,15pt_pullback,25pt_target,positive_quote_pressure,15,0.5333,1.429,60.0,4.0
