model,month,trades,winrate,net_points,avg_trade
ATR_8_PLUS,2018-01,1,0.0,-20.0,-20.0
ATR_8_PLUS,2018-02,9,1.0,180.0,20.0
ATR_8_PLUS,2018-03,6,0.5,0.0,0.0
ATR_8_PLUS,2018-04,8,0.875,120.0,15.0
ATR_8_PLUS,2018-06,3,0.3333,-20.0,-6.67
ATR_8_PLUS,2018-08,1,0.0,-20.0,-20.0
ATR_8_PLUS,2018-09,2,1.0,40.0,20.0
ATR_8_PLUS,2018-10,10,0.9,160.0,16.0
ATR_8_PLUS,2018-11,16,0.75,160.0,10.0
ATR_8_PLUS,2018-12,14,0.7857,160.0,11.43
ATR_8_PLUS,2019-01,2,1.0,40.0,20.0
ATR_8_PLUS,2019-02,2,0.5,0.0,0.0
ATR_8_PLUS,2019-03,2,0.0,-40.0,-20.0
