conditions,trades,expectancy_score,robustness_score,win_10,win_20,win_30,win_40,avg_15m,avg_30m,avg_60m,med_30m,std_30m
back_inside_or & green_bar & large_lower_wick & tight_spread & high_rel_vol,62,0.14903225806451612,7.451612903225806,0.45161290322580644,0.3548387096774194,0.3387096774193548,0.3064516129032258,-7.17741935483871,0.6774193548387096,2.0120967741935485,10.875,115.79324942717182
large_or & displacement & tight_spread & high_rel_vol & high_volatility,42,0.14666666666666664,12.047619047619051,0.5238095238095238,0.5238095238095238,0.5476190476190477,0.40476190476190477,2.375,0.6666666666666666,-28.75,52.625,193.70787241978158
above_vwap & green_bar & displacement & tight_spread & high_rel_vol,48,0.14255208333333333,6.729166666666666,0.3958333333333333,0.3541666666666667,0.3958333333333333,0.2916666666666667,-9.40625,0.8385416666666666,-23.411458333333332,1.0,107.15824559946692
below_vwap & large_lower_wick & tight_spread & high_rel_vol & high_volatility,59,0.13932203389830508,10.169491525423728,0.4576271186440678,0.4067796610169492,0.423728813559322,0.3898305084745763,-11.033898305084746,0.5805084745762712,14.525423728813559,3.25,169.51384238486784
green_bar & strong_body & displacement & tight_spread & high_volatility,64,0.13593750000000002,12.65625,0.53125,0.46875,0.421875,0.34375,-1.37109375,0.453125,-18.84765625,2.75,121.62662318041163
back_inside_or & green_bar & displacement & high_rel_vol,100,0.127125,19.8,0.52,0.45,0.44,0.36,12.61,0.2825,-10.545,20.625,176.7581118929185
back_inside_or & green_bar & expansion_bar & displacement & high_rel_vol,100,0.127125,19.8,0.52,0.45,0.44,0.36,12.61,0.2825,-10.545,20.625,176.7581118929185
above_vwap & displacement & tight_spread & high_rel_vol,50,0.1258,6.460000000000001,0.38,0.34,0.38,0.28,-10.5,0.74,-22.83,1.0,105.0018216557237
above_vwap & back_inside_or & displacement & tight_spread & high_rel_vol,50,0.1258,6.460000000000001,0.38,0.34,0.38,0.28,-10.5,0.74,-22.83,1.0,105.0018216557237
above_vwap & expansion_bar & displacement & tight_spread & high_rel_vol,50,0.1258,6.460000000000001,0.38,0.34,0.38,0.28,-10.5,0.74,-22.83,1.0,105.0018216557237
below_vwap & back_inside_or & green_bar & bull_fvg & high_volatility,40,0.12400000000000003,4.4,0.425,0.4,0.275,0.425,0.53125,0.775,-17.425,-7.125,119.5141982767888
back_inside_or & green_bar & large_lower_wick & tight_spread,227,0.11726872246696037,31.788546255506606,0.4801762114537445,0.3876651982378855,0.36123348017621143,0.3568281938325991,1.7169603524229076,0.13325991189427314,11.690528634361234,10.5,111.19901449529212
back_inside_or & small_or & large_lower_wick & expansion_bar,36,0.11569444444444445,2.1388888888888893,0.4166666666666667,0.19444444444444445,0.3055555555555556,0.2777777777777778,-7.986111111111111,1.6527777777777777,2.1875,8.5,47.47793764994499
back_inside_or & small_or & large_lower_wick & expansion_bar & tight_spread,36,0.11569444444444445,2.1388888888888893,0.4166666666666667,0.19444444444444445,0.3055555555555556,0.2777777777777778,-7.986111111111111,1.6527777777777777,2.1875,8.5,47.47793764994499
large_lower_wick & tight_spread & high_volatility,230,0.11422826086956521,36.391304347826086,0.46956521739130436,0.4043478260869565,0.391304347826087,0.3652173913043478,-5.418478260869565,0.12282608695652174,12.004347826086956,4.625,133.07176573923007
above_vwap & back_inside_or & high_volatility,206,0.09998786407766991,30.276699029126217,0.4223300970873786,0.3737864077669903,0.3932038834951456,0.3737864077669903,-2.787621359223301,0.12985436893203883,-1.4781553398058251,9.375,126.40715939309901
