model,trade_date,entry_time,direction,pnl_points,rolling_50_net,rolling_50_wr
PROD_STACK_STRICT,2020-10-15,2020-10-15 09:29:00,LONG,20.0,381.5,0.7
PROD_STACK_STRICT,2020-10-20,2020-10-20 09:09:00,SHORT,-20.0,341.5,0.68
PROD_STACK_STRICT,2020-10-21,2020-10-21 10:30:00,SHORT,20.0,341.5,0.68
PROD_STACK_STRICT,2020-10-23,2020-10-23 09:54:00,SHORT,-20.0,301.5,0.66
PROD_STACK_STRICT,2020-10-27,2020-10-27 09:18:00,LONG,-20.0,261.5,0.64
PROD_STACK_STRICT,2020-10-28,2020-10-28 11:29:00,SHORT,5.5,247.0,0.64
PROD_STACK_STRICT,2020-11-12,2020-11-12 10:46:00,SHORT,-20.0,207.0,0.62
PROD_STACK_STRICT,2020-11-13,2020-11-13 09:27:00,SHORT,20.0,247.0,0.64
PROD_STACK_STRICT,2020-11-19,2020-11-19 10:07:00,LONG,20.0,287.0,0.66
PROD_STACK_STRICT,2020-11-23,2020-11-23 09:07:00,SHORT,20.0,287.0,0.66
PROD_STACK_STRICT,2020-11-25,2020-11-25 09:05:00,SHORT,20.0,287.0,0.66
PROD_STACK_STRICT,2020-11-26,2020-11-26 09:19:00,SHORT,20.0,287.0,0.66
PROD_STACK_STRICT,2020-12-03,2020-12-03 09:04:00,LONG,20.0,287.0,0.66
PROD_STACK_STRICT,2020-12-04,2020-12-04 09:06:00,LONG,-20.0,247.0,0.64
PROD_STACK_STRICT,2020-12-07,2020-12-07 10:05:00,LONG,20.0,247.0,0.64
PROD_STACK_STRICT,2020-12-08,2020-12-08 11:02:00,LONG,2.0,229.0,0.64
PROD_STACK_STRICT,2020-12-09,2020-12-09 09:16:00,SHORT,-20.0,189.0,0.62
PROD_STACK_STRICT,2020-12-11,2020-12-11 10:39:00,SHORT,20.0,189.0,0.62
PROD_STACK_STRICT,2020-12-15,2020-12-15 09:39:00,SHORT,20.0,229.0,0.64
PROD_STACK_STRICT,2020-12-16,2020-12-16 10:10:00,LONG,20.0,269.0,0.66
PROD_STACK_STRICT,2020-12-17,2020-12-17 09:19:00,SHORT,20.0,269.0,0.66
PROD_STACK_STRICT,2020-12-18,2020-12-18 09:02:00,SHORT,20.0,306.25,0.68
PROD_STACK_STRICT,2020-12-22,2020-12-22 10:02:00,SHORT,-20.0,306.25,0.68
PROD_STACK_STRICT,2020-12-28,2020-12-28 10:26:00,LONG,15.5,301.75,0.68
PROD_STACK_STRICT,2020-12-29,2020-12-29 09:11:00,SHORT,20.0,301.75,0.68
PROD_STACK_STRICT,2020-12-30,2020-12-30 09:49:00,SHORT,-20.0,278.5,0.66
PROD_STACK_STRICT,2021-01-08,2021-01-08 09:27:00,SHORT,20.0,307.25,0.68
PROD_STACK_STRICT,2021-01-14,2021-01-14 09:45:00,LONG,-20.0,267.25,0.66
PROD_STACK_STRICT,2021-01-18,2021-01-18 11:06:00,LONG,-8.0,239.25,0.64
PROD_STACK_STRICT,2021-01-21,2021-01-21 11:09:00,LONG,-20.0,199.25,0.62
PROD_STACK_STRICT,2021-01-26,2021-01-26 10:05:00,LONG,20.0,199.25,0.62
PROD_STACK_STRICT,2021-02-02,2021-02-02 10:23:00,LONG,20.0,239.25,0.64
PROD_STACK_STRICT,2021-02-03,2021-02-03 09:11:00,SHORT,20.0,243.5,0.64
PROD_STACK_STRICT,2021-02-04,2021-02-04 09:04:00,SHORT,-20.0,243.5,0.64
PROD_STACK_STRICT,2021-02-08,2021-02-08 10:49:00,SHORT,-10.75,252.75,0.64
PROD_STACK_STRICT,2021-02-10,2021-02-10 09:13:00,SHORT,20.0,260.5,0.64
PROD_STACK_STRICT,2021-02-11,2021-02-11 11:22:00,SHORT,20.0,300.5,0.66
PROD_STACK_STRICT,2021-02-12,2021-02-12 09:39:00,LONG,20.0,300.5,0.66
PROD_STACK_STRICT,2021-02-17,2021-02-17 09:22:00,SHORT,20.0,340.5,0.68
PROD_STACK_STRICT,2021-02-18,2021-02-18 09:06:00,SHORT,20.0,340.5,0.68
PROD_STACK_STRICT,2021-02-19,2021-02-19 09:19:00,SHORT,-20.0,316.75,0.66
PROD_STACK_STRICT,2021-03-11,2021-03-11 09:20:00,SHORT,-20.0,276.75,0.64
PROD_STACK_STRICT,2021-03-15,2021-03-15 09:41:00,SHORT,-20.0,276.75,0.64
PROD_STACK_STRICT,2021-03-17,2021-03-17 11:06:00,SHORT,20.0,316.75,0.66
