conditions,trades,expectancy_score,sequence_score,win_15m,win_30m,win_60m,avg_15m,avg_30m,avg_60m,med_30m,std_30m
back_inside_or -> above_vwap -> large_or -> tight_spread -> next_tight_spread -> two_bar_followthrough,66,12.375946969696969,10.871212121212121,0.6212121212121212,0.5303030303030303,0.5,23.87121212121212,35.359848484848484,30.34469696969697,34.75,157.27516387130527
back_inside_or -> below_vwap -> large_or -> green_bar -> next_green_bar,183,12.373524590163935,16.660037624294546,0.45901639344262296,0.4426229508196721,0.44808743169398907,12.448087431693988,15.275956284153006,16.654371584699454,8.75,175.05182025864855
below_vwap -> tight_spread -> strong_body -> next_tight_spread,216,12.355856481481482,15.850694444444446,0.4583333333333333,0.38425925925925924,0.4166666666666667,18.341435185185187,14.886574074074074,18.332175925925927,13.625,125.79834769988992
large_or -> tight_spread -> bull_fvg -> green_bar,52,12.3275,7.8076923076923075,0.5576923076923077,0.5,0.5384615384615384,26.903846153846153,47.41346153846154,28.254807692307693,27.5,157.01757648441054
back_inside_or -> large_or -> tight_spread -> bull_fvg -> green_bar,52,12.3275,7.8076923076923075,0.5576923076923077,0.5,0.5384615384615384,26.903846153846153,47.41346153846154,28.254807692307693,27.5,157.01757648441054
back_inside_or -> above_vwap -> next_green_bar,293,12.293813993174064,15.867103868420134,0.3924914675767918,0.3924914675767918,0.3515358361774744,9.23037542662116,10.690273037542662,13.099829351535837,16.5,112.92221122043037
above_vwap -> next_tight_spread -> two_bar_followthrough,174,12.262370689655175,11.445303210463734,0.46551724137931033,0.39655172413793105,0.3563218390804598,11.972701149425287,17.771551724137932,13.047413793103448,17.375,120.82160586270558
large_or -> strong_body -> next_tight_spread -> next_green_bar,98,12.25826530612245,10.683881715951687,0.5408163265306123,0.4489795918367347,0.4489795918367347,23.862244897959183,27.85969387755102,35.66581632653061,7.25,166.14583034533982
above_vwap -> green_bar -> next_tight_spread -> two_bar_followthrough,145,12.23239655172414,9.91434007134364,0.47586206896551725,0.3931034482758621,0.36551724137931035,11.027586206896551,21.46034482758621,14.151724137931035,16.5,122.0465163336743
back_inside_or -> below_vwap -> strong_body,208,12.210576923076925,17.649778106508876,0.4807692307692308,0.39903846153846156,0.4423076923076923,23.88221153846154,14.711538461538462,17.858173076923077,14.25,133.9386791393822
tight_spread -> green_bar -> strong_body -> two_bar_followthrough,148,12.207010135135135,10.135911249086924,0.4797297297297297,0.3581081081081081,0.39864864864864863,22.613175675675677,23.032094594594593,24.449324324324323,12.25,121.03793707441102
back_inside_or -> below_vwap -> large_or -> green_bar -> strong_body -> next_tight_spread,81,12.204290123456792,10.117055326931869,0.5679012345679012,0.4567901234567901,0.48148148148148145,38.28086419753087,32.98456790123457,33.64506172839506,7.0,180.57020944807994
red_bar -> next_green_bar -> two_bar_followthrough,116,12.182004310344828,8.491973840665874,0.4224137931034483,0.45689655172413796,0.3793103448275862,15.306034482758621,22.98491379310345,20.189655172413794,16.125,99.64305473731628
large_or -> green_bar -> strong_body -> next_green_bar -> two_bar_followthrough,45,12.128666666666666,5.962962962962963,0.5555555555555556,0.5111111111111111,0.4666666666666667,44.388888888888886,52.733333333333334,43.577777777777776,45.25,182.66630343084876
tight_spread -> strong_body -> two_bar_followthrough,159,12.100754716981132,10.134092796962145,0.4716981132075472,0.3522012578616352,0.3836477987421384,21.74685534591195,21.608490566037737,22.32861635220126,12.0,117.68625329845754
below_vwap -> large_or -> red_bar,122,12.060758196721311,10.351451222789573,0.4672131147540984,0.4344262295081967,0.4180327868852459,10.28688524590164,22.756147540983605,30.98155737704918,9.125,159.92443160921903
back_inside_or -> below_vwap -> tight_spread -> strong_body -> two_bar_followthrough,100,12.06025,8.7514,0.49,0.38,0.47,33.3175,31.7375,42.1075,12.25,130.65879776379703
below_vwap -> large_or -> tight_spread -> strong_body -> next_green_bar,70,12.059428571428569,8.215510204081632,0.5285714285714286,0.45714285714285713,0.4857142857142857,26.07857142857143,37.68571428571428,58.510714285714286,9.125,181.08701910576818
below_vwap -> large_or -> strong_body -> next_tight_spread -> next_green_bar,70,12.059428571428569,8.215510204081632,0.5285714285714286,0.45714285714285713,0.4857142857142857,26.07857142857143,37.68571428571428,58.510714285714286,9.125,181.08701910576818
