label,trades,wins,losses,winrate,net_points,avg_trade,profit_factor,max_dd,first_trade,last_trade
risk_points_gt_q60_8.88,51,34,17,66.67,635.34,12.46,4.3,-45.94,2019-08-29 08:38:00,2026-03-16 08:48:00
lower_wick_pct_lt_q70_0.21176,91,60,31,65.93,838.55,9.21,4.27,-33.25,2018-10-12 10:09:00,2026-03-18 10:36:00
risk_points_gt_q50_8.44,63,42,21,66.67,739.02,11.73,4.25,-31.56,2019-08-29 08:38:00,2026-03-16 08:48:00
range_expansion_20_lt_q40_1.7684,52,34,18,65.38,462.87,8.9,4.25,-21.75,2020-02-27 08:33:00,2026-03-16 08:48:00
body_pct_gt_q50_0.75714,65,42,23,64.62,596.23,9.17,4.16,-24.01,2018-10-12 10:09:00,2026-03-18 10:36:00
lower_wick_pct_lt_q75_0.21939,98,64,34,65.31,874.67,8.93,4.14,-33.25,2018-10-12 10:09:00,2026-03-18 10:36:00
rel_vol_20_gt_q75_2.89796,32,21,11,65.62,314.93,9.84,4.14,-17.0,2019-08-29 08:38:00,2026-01-08 08:32:00
rel_vol_20_lt_q50_1.97339,65,42,23,64.62,597.92,9.2,4.09,-30.13,2018-10-12 10:09:00,2026-05-05 10:32:00
body_pct_gt_q70_0.82727,39,25,14,64.1,357.71,9.17,4.06,-30.82,2018-10-12 10:09:00,2026-03-18 10:36:00
body_pct_gt_q40_0.73548,78,50,28,64.1,710.54,9.11,4.05,-24.01,2018-10-12 10:09:00,2026-03-18 10:36:00
body_pct_gt_q30_0.70707,91,58,33,63.74,824.73,9.06,4.0,-32.32,2018-10-12 10:09:00,2026-03-18 10:36:00
lower_wick_pct_lt_q90_0.27723,117,75,42,64.1,1043.36,8.92,3.96,-30.19,2018-10-12 10:09:00,2026-03-18 10:36:00
range_expansion_20_gt_q80_2.33032,26,17,9,65.38,266.5,10.25,3.88,-26.25,2019-08-29 08:38:00,2026-01-08 08:32:00
hour_10_only,50,32,18,64.0,414.79,8.3,3.82,-29.38,2018-10-12 10:09:00,2026-05-05 10:32:00
body_pct_gt_q25_0.7,97,61,36,62.89,837.92,8.64,3.76,-30.19,2018-10-12 10:09:00,2026-03-18 10:36:00
risk_points_gt_q40_7.75,78,49,29,62.82,787.38,10.09,3.68,-31.56,2019-08-29 08:38:00,2026-03-18 10:36:00
risk_points_gt_q30_7.31,89,56,33,62.92,863.49,9.7,3.67,-30.19,2019-08-29 08:38:00,2026-03-18 10:36:00
range_expansion_20_lt_q50_1.85567,65,41,24,63.08,527.86,8.12,3.66,-28.21,2020-02-21 08:50:00,2026-03-18 10:36:00
risk_points_gt_q25_7.0,97,61,36,62.89,914.16,9.42,3.65,-34.12,2018-12-27 08:36:00,2026-03-18 10:36:00
rel_vol_20_gt_q70_2.66545,39,24,15,61.54,341.12,8.75,3.65,-25.44,2018-12-06 08:34:00,2026-01-08 08:32:00
body_pct_gt_q20_0.69014,104,65,39,62.5,883.67,8.5,3.64,-30.19,2018-10-12 10:09:00,2026-05-05 10:32:00
wick_gt_q10_range_gt_q10_hour10,38,24,14,63.16,298.29,7.85,3.58,-20.0,2018-10-12 10:09:00,2026-05-05 10:32:00
rel_vol_20_lt_q60_2.37908,78,49,29,62.82,653.12,8.37,3.55,-30.19,2018-10-12 10:09:00,2026-05-05 10:32:00
range_expansion_20_gt_q60_1.99209,52,33,19,63.46,461.68,8.88,3.53,-26.81,2018-12-06 08:34:00,2026-02-18 08:35:00
wick_gt_q20_relvol_gt_q50_hour8,38,23,15,60.53,335.69,8.83,3.51,-32.49,2018-12-06 08:34:00,2026-01-08 08:32:00
wick_gt_q10_relvol_gt_q50_hour8,38,23,15,60.53,335.69,8.83,3.51,-32.49,2018-12-06 08:34:00,2026-01-08 08:32:00
hour_8_10,129,80,49,62.02,1074.66,8.33,3.5,-34.12,2018-10-12 10:09:00,2026-05-05 10:32:00
risk_points_gt_q20_6.75,104,64,40,61.54,928.28,8.93,3.49,-34.12,2018-10-12 10:09:00,2026-03-18 10:36:00
range_expansion_20_lt_q70_2.10843,91,56,35,61.54,734.55,8.07,3.49,-23.07,2018-10-12 10:09:00,2026-05-05 10:32:00
body_pct_gt_q10_0.66667,117,72,45,61.54,954.99,8.16,3.45,-32.25,2018-10-12 10:09:00,2026-05-05 10:32:00
wick_gt_q10_range_gt_q30_hour10,27,17,10,62.96,208.42,7.72,3.42,-20.0,2018-10-12 10:09:00,2026-05-05 10:32:00
all_full_universe,131,80,51,61.07,1059.66,8.09,3.39,-34.12,2018-10-12 10:09:00,2026-05-05 10:32:00
rel_vol_20_lt_q70_2.66545,91,56,35,61.54,728.23,8.0,3.38,-30.19,2018-10-12 10:09:00,2026-05-05 10:32:00
