date,entry_time,entry,stop,target,exit_price,outcome,risk_points,pnl_points,rr,mfe,mae
2025-10-15,2025-10-15 09:36:00,24994.0,25016.25,24949.5,24949.5,win,22.25,44.5,2.0,51.0,-12.25
2025-10-15,2025-10-15 09:37:00,24974.75,24995.0,24934.25,24995.0,loss,20.25,-20.25,-1.0,7.5,-20.25
2025-10-15,2025-10-15 09:51:00,24886.0,24927.5,24803.0,24927.5,loss,41.5,-41.5,-1.0,8.75,-54.75
2025-10-15,2025-10-15 10:46:00,24917.25,24939.5,24872.75,24872.75,win,22.25,44.5,2.0,85.0,-18.75
2025-10-15,2025-10-15 10:54:00,24904.75,24926.75,24860.75,24860.75,win,22.0,44.0,2.0,72.5,-17.25
2025-10-15,2025-10-15 10:58:00,24900.25,24917.25,24866.25,24866.25,win,17.0,34.0,2.0,68.0,-14.75
2025-10-15,2025-10-15 11:01:00,24834.25,24904.75,24693.25,24693.25,win,70.5,141.0,2.0,169.25,-23.5
2025-10-16,2025-10-16 09:27:00,25051.75,25071.0,25013.25,25013.25,win,19.25,38.5,2.0,49.75,-2.25
2025-10-16,2025-10-16 09:46:00,24977.5,25002.25,24928.0,25002.25,loss,24.75,-24.75,-1.0,17.5,-35.5
2025-10-16,2025-10-16 09:50:00,24970.5,25014.0,24883.5,25014.0,loss,43.5,-43.5,-1.0,0.25,-47.25
2025-10-16,2025-10-16 09:57:00,24952.75,24988.75,24880.75,24988.75,loss,36.0,-36.0,-1.0,19.0,-36.0
2025-10-16,2025-10-16 10:01:00,24949.75,24975.75,24897.75,24975.75,loss,26.0,-26.0,-1.0,16.0,-39.0
2025-10-16,2025-10-16 10:08:00,24972.75,24995.75,24926.75,24995.75,loss,23.0,-23.0,-1.0,20.75,-23.5
2025-10-16,2025-10-16 10:14:00,24969.25,24991.0,24925.75,24991.0,loss,21.75,-21.75,-1.0,6.0,-27.0
2025-10-16,2025-10-16 10:17:00,24960.0,24984.5,24911.0,24911.0,win,24.5,49.0,2.0,55.75,-8.75
