date,entry_time,entry,stop,target,exit_price,outcome,risk_points,pnl_points,rr,mfe,mae
2025-01-14,2025-01-14 08:55:00,21024.7,21049.25,20975.6,20975.6,win,24.55,49.1,2.0,58.45,-5.55
2025-01-31,2025-01-31 08:37:00,21779.55,21793.0,21752.65,21793.0,loss,13.45,-13.45,-1.0,9.8,-15.95
2025-03-12,2025-03-12 08:58:00,19506.2,19521.0,19476.6,19476.6,win,14.8,29.6,2.0,36.7,-3.8
2025-05-01,2025-05-01 10:17:00,19928.55,19949.5,19886.65,19949.5,loss,20.95,-20.95,-1.0,18.55,-22.2
2025-05-14,2025-05-14 09:07:00,21311.95,21328.25,21279.35,21328.25,loss,16.3,-16.3,-1.0,9.95,-21.3
2025-06-04,2025-06-04 10:30:00,21723.35,21729.75,21710.55,21729.75,loss,6.4,-6.4,-1.0,7.1,-12.4
2025-06-25,2025-06-25 09:59:00,22447.15,22453.25,22434.95,22453.25,loss,6.1,-6.1,-1.0,4.4,-9.6
2025-08-07,2025-08-07 09:50:00,23483.25,23491.75,23466.25,23491.75,loss,8.5,-8.5,-1.0,5.0,-29.0
2025-09-29,2025-09-29 10:18:00,24838.85,24854.25,24808.05,24854.25,loss,15.4,-15.4,-1.0,10.35,-16.15
2025-10-29,2025-10-29 09:57:00,26234.4,26241.25,26220.7,26241.25,loss,6.85,-6.85,-1.0,4.9,-10.6
2025-11-10,2025-11-10 10:23:00,25488.55,25500.5,25464.65,25500.5,loss,11.95,-11.95,-1.0,7.05,-18.7
2025-11-28,2025-11-28 08:43:00,25364.1,25384.75,25322.8,25384.75,loss,20.65,-20.65,-1.0,21.35,-23.15
2025-12-01,2025-12-01 09:35:00,25296.55,25310.0,25269.65,25269.65,win,13.45,26.9,2.0,29.05,-2.45
2025-12-26,2025-12-26 08:52:00,25888.95,25900.75,25865.35,25900.75,loss,11.8,-11.8,-1.0,12.2,-22.55
2026-01-27,2026-01-27 08:40:00,25941.05,25953.0,25917.15,25953.0,loss,11.95,-11.95,-1.0,12.3,-17.95
2026-01-28,2026-01-28 08:49:00,26251.8,26270.5,26214.4,26270.5,loss,18.7,-18.7,-1.0,16.3,-21.7
2026-02-19,2026-02-19 10:30:00,24889.5,24905.5,24857.5,24905.5,loss,16.0,-16.0,-1.0,16.5,-17.25
2026-05-07,2026-05-07 10:40:00,28722.85,28733.75,28701.05,28733.75,loss,10.9,-10.9,-1.0,13.35,-21.9
