candidate_number,take_trade,skip_reason,fvg_ts,entry_ts,direction,symbol,gap_low,gap_high,gap_mid,gap_width,entry_price,stop_price,risk_points
121,true,"",2026-04-14T00:00:00.000000,2026-04-14T00:06:00.000000,bull,NQM6,25550.25,25560.0,25555.125,9.75,25560.0,25550.25,9.75
46,true,"",2026-02-03T16:00:00.000000,2026-04-14T07:05:00.000000,bear,NQM6,25619.75,25935.0,25777.375,315.25,25619.75,25935.0,315.25
122,true,"",2026-04-14T08:00:00.000000,2026-04-14T08:02:00.000000,bull,NQM6,25600.0,25609.75,25604.875,9.75,25609.75,25600.0,9.75
123,true,"",2026-04-14T12:00:00.000000,2026-04-14T13:27:00.000000,bull,NQM6,25643.5,25651.75,25647.625,8.25,25651.75,25643.5,8.25
125,true,"",2026-04-14T20:00:00.000000,2026-04-14T20:03:00.000000,bull,NQM6,25899.75,25972.0,25935.875,72.25,25972.0,25899.75,72.25
126,true,"",2026-04-15T16:00:00.000000,2026-04-15T16:56:00.000000,bull,NQM6,26048.0,26102.25,26075.125,54.25,26102.25,26048.0,54.25
127,true,"",2026-04-15T20:00:00.000000,2026-04-15T20:13:00.000000,bull,NQM6,26215.5,26330.0,26272.75,114.5,26330.0,26215.5,114.5
128,true,"",2026-04-16T00:00:00.000000,2026-04-16T00:04:00.000000,bull,NQM6,26377.5,26388.75,26383.125,11.25,26388.75,26377.5,11.25
130,true,"",2026-04-17T16:00:00.000000,2026-04-17T17:24:00.000000,bull,NQM6,26568.25,26735.5,26651.875,167.25,26735.5,26568.25,167.25
129,true,"",2026-04-17T12:00:00.000000,2026-04-19T22:00:00.000000,bull,NQM6,26492.25,26561.5,26526.875,69.25,26561.5,26492.25,69.25
131,true,"",2026-04-19T20:00:00.000000,2026-04-19T23:10:00.000000,bear,NQM6,26682.0,26735.5,26708.75,53.5,26682.0,26735.5,53.5
132,true,"",2026-04-20T00:00:00.000000,2026-04-20T01:56:00.000000,bear,NQM6,26714.75,26816.0,26765.375,101.25,26714.75,26816.0,101.25
133,true,"",2026-04-21T00:00:00.000000,2026-04-21T00:38:00.000000,bull,NQM6,26752.0,26785.0,26768.5,33.0,26785.0,26752.0,33.0
134,true,"",2026-04-21T16:00:00.000000,2026-04-21T19:31:00.000000,bear,NQM6,26786.5,26797.25,26791.875,10.75,26786.5,26797.25,10.75
135,true,"",2026-04-22T16:00:00.000000,2026-04-22T16:58:00.000000,bull,NQM6,26863.25,26957.25,26910.25,94.0,26957.25,26863.25,94.0
136,true,"",2026-04-22T20:00:00.000000,2026-04-22T22:00:00.000000,bull,NQM6,27008.75,27066.0,27037.375,57.25,27066.0,27008.75,57.25
