direction,trades,wr_1R,wr_1_5R,wr_2R,avg_r_1R,avg_r_1_5R,avg_r_2R,pf_1R,pf_1_5R,pf_2R,avg_risk,avg_mfe,avg_mae,median_mfe,median_mae,max_dd_r_1R,max_dd_r_1_5R,max_dd_r_2R,audit_group,fib,hour,risk_bucket,orb_range_bucket,body_pct_bucket,rel_vol_bucket,vwap_dist_bucket,liq_sweep_bucket,vwap_aligned,directional_displacement,directional_recent_fvg,directional_v_reversal
long,128,45.31,34.38,25.0,-0.094,-0.141,-0.25,0.829,0.786,0.667,17.68,24.14,-20.66,14.12,-19.81,-18.0,-19.0,-33.0,direction_fib_risk,0.5,,15-20,,,,,,,,,
long,111,43.24,36.04,29.73,-0.135,-0.099,-0.108,0.762,0.845,0.846,27.44,37.68,-27.44,25.32,-26.71,-18.0,-15.5,-16.0,direction_fib_vwap_dist,0.382,,,,,,far_below,,,,,
,574,52.61,41.11,31.71,0.052,0.028,-0.049,1.11,1.047,0.929,27.4,47.29,-26.34,30.25,-28.79,-19.0,-29.0,-52.0,risk_bucket,,,25-30,,,,,,,,,
long,765,50.98,40.65,31.76,0.02,0.016,-0.047,1.04,1.028,0.931,19.43,31.41,-19.63,16.0,-17.25,-19.0,-30.0,-55.0,direction_fib,0.5,,,,,,,,,,,
short,292,48.29,39.04,30.14,-0.034,-0.024,-0.096,0.934,0.961,0.863,18.61,31.79,-19.04,16.12,-16.62,-19.0,-31.5,-46.0,direction_fib_liq,0.5,,,,,,,1,,,,
long,140,47.86,36.43,28.57,-0.043,-0.089,-0.143,0.918,0.86,0.8,19.12,25.93,-20.64,15.5,-18.31,-19.0,-25.0,-31.0,direction_fib_vwap_dist,0.5,,,,,,below,,,,,
long,151,47.68,33.11,25.83,-0.046,-0.172,-0.225,0.911,0.743,0.696,19.9,26.43,-18.43,14.39,-15.68,-19.0,-39.0,-41.0,direction_fib_liq,0.382,,,,,,,0,,,,
short,143,43.36,30.07,20.98,-0.133,-0.248,-0.371,0.765,0.645,0.531,17.4,24.44,-15.62,10.3,-13.83,-19.0,-35.5,-53.0,direction_fib_vwap_dist,0.382,,,,,,near,,,,,
,1044,55.46,42.43,33.62,0.109,0.061,0.009,1.245,1.106,1.013,19.15,37.21,-18.01,19.38,-15.61,-20.0,-35.0,-80.0,body_pct_bucket,,,,,25-50,,,,,,,
short,440,54.55,44.55,35.91,0.091,0.114,0.077,1.2,1.205,1.121,20.07,39.09,-19.42,21.12,-16.81,-20.0,-28.5,-39.0,direction_fib_rel_vol,0.5,,,,,normal,,,,,,
short,250,50.8,37.2,30.4,0.016,-0.07,-0.088,1.033,0.889,0.874,16.27,32.89,-17.13,13.22,-14.32,-20.0,-22.5,-29.0,direction_fib_rel_vol,0.618,,,,,high,,,,,,
long,120,49.17,43.33,31.67,-0.017,0.083,-0.05,0.967,1.147,0.927,13.68,26.47,-14.7,11.38,-11.51,-20.0,-18.5,-23.0,direction_fib_liq,0.618,,,,,,,0,,,,
short,465,49.03,38.92,30.54,-0.019,-0.027,-0.084,0.962,0.956,0.879,18.15,33.37,-17.8,14.88,-15.75,-20.0,-34.0,-64.0,direction_fib_vwap,0.5,,,,,,,,false,,,
long,123,47.97,33.33,25.2,-0.041,-0.167,-0.244,0.922,0.75,0.674,17.63,22.82,-16.12,13.06,-12.67,-20.0,-34.0,-39.0,direction_fib_vwap_dist,0.382,,,,,,near,,,,,
long,165,46.06,37.58,29.7,-0.079,-0.061,-0.109,0.854,0.903,0.845,18.82,27.24,-19.85,11.12,-16.12,-20.0,-19.0,-28.0,direction_fib_rel_vol,0.5,,,,,extreme,,,,,,
short,367,52.32,41.69,35.15,0.046,0.042,0.054,1.097,1.072,1.084,17.57,37.46,-17.83,15.89,-16.13,-21.0,-37.5,-35.0,direction_fib_liq,0.618,,,,,,,2+,,,,
short,418,48.8,35.41,27.03,-0.024,-0.115,-0.189,0.953,0.822,0.741,19.68,31.87,-18.87,16.29,-16.84,-21.0,-60.5,-82.0,direction_fib_vwap,0.382,,,,,,,,false,,,
long,117,41.88,32.48,22.22,-0.162,-0.188,-0.333,0.721,0.722,0.571,17.26,21.65,-17.63,12.4,-18.25,-21.0,-25.5,-42.0,direction_fib_risk,0.382,,15-20,,,,,,,,,
long,284,48.94,39.08,29.23,-0.021,-0.023,-0.123,0.959,0.962,0.826,21.11,30.31,-20.43,16.94,-18.37,-23.0,-24.0,-49.0,direction_fib_liq,0.382,,,,,,,1,,,,
long,183,45.9,36.61,27.87,-0.082,-0.085,-0.164,0.848,0.866,0.773,15.13,23.6,-18.76,9.41,-14.59,-23.0,-27.0,-44.0,direction_fib_rel_vol,0.618,,,,,extreme,,,,,,
long,131,45.8,34.35,22.14,-0.084,-0.141,-0.336,0.845,0.785,0.569,21.51,26.09,-21.55,16.36,-18.94,-23.0,-34.5,-53.0,direction_fib_vwap_dist,0.382,,,,,,below,,,,,
short,105,40.0,36.19,28.57,-0.2,-0.095,-0.143,0.667,0.851,0.8,15.81,29.48,-17.16,7.22,-11.64,-23.0,-13.5,-24.0,direction_fib_rel_vol,0.618,,,,,extreme,,,,,,
short,788,50.51,39.97,33.76,0.01,-0.001,0.013,1.021,0.999,1.019,16.17,34.25,-17.09,14.43,-14.32,-24.0,-44.5,-53.0,direction_fib,0.618,,,,,,,,,,,
long,341,48.39,36.36,29.91,-0.032,-0.091,-0.103,0.938,0.857,0.854,20.81,30.91,-21.53,15.88,-20.0,-24.0,-41.5,-52.0,direction_fib_vwap,0.5,,,,,,,,false,,,
short,280,46.43,37.86,32.5,-0.071,-0.054,-0.025,0.867,0.914,0.963,15.25,30.76,-16.84,12.98,-13.34,-24.0,-21.0,-24.0,direction_fib_liq,0.618,,,,,,,1,,,,
