sim,net_points,max_dd,max_losing_streak
531,773.53,0.0,0
532,773.53,0.0,0
533,773.53,0.0,0
534,773.53,0.0,0
535,773.53,0.0,0
536,773.53,0.0,0
537,773.53,0.0,0
538,773.53,0.0,0
539,773.53,0.0,0
540,773.53,0.0,0
541,773.53,0.0,0
542,773.53,0.0,0
543,773.53,0.0,0
544,773.53,0.0,0
545,773.53,0.0,0
546,773.53,0.0,0
547,773.53,0.0,0
548,773.53,0.0,0
549,773.53,0.0,0
550,773.53,0.0,0
551,773.53,0.0,0
552,773.53,0.0,0
553,773.53,0.0,0
554,773.53,0.0,0
555,773.53,0.0,0
556,773.53,0.0,0
557,773.53,0.0,0
558,773.53,0.0,0
559,773.53,0.0,0
560,773.53,0.0,0
561,773.53,0.0,0
562,773.53,0.0,0
563,773.53,0.0,0
564,773.53,0.0,0
565,773.53,0.0,0
566,773.53,0.0,0
567,773.53,0.0,0
568,773.53,0.0,0
569,773.53,0.0,0
570,773.53,0.0,0
571,773.53,0.0,0
572,773.53,0.0,0
573,773.53,0.0,0
574,773.53,0.0,0
575,773.53,0.0,0
576,773.53,0.0,0
577,773.53,0.0,0
578,773.53,0.0,0
579,773.53,0.0,0
580,773.53,0.0,0
581,773.53,0.0,0
582,773.53,0.0,0
583,773.53,0.0,0
584,773.53,0.0,0
585,773.53,0.0,0
586,773.53,0.0,0
587,773.53,0.0,0
588,773.53,0.0,0
589,773.53,0.0,0
590,773.53,0.0,0
591,773.53,0.0,0
592,773.53,0.0,0
593,773.53,0.0,0
594,773.53,0.0,0
595,773.53,0.0,0
596,773.53,0.0,0
597,773.53,0.0,0
598,773.53,0.0,0
599,773.53,0.0,0
600,773.53,0.0,0
601,773.53,0.0,0
602,773.53,0.0,0
603,773.53,0.0,0
604,773.53,0.0,0
605,773.53,0.0,0
606,773.53,0.0,0
607,773.53,0.0,0
608,773.53,0.0,0
609,773.53,0.0,0
610,773.53,0.0,0
611,773.53,0.0,0
612,773.53,0.0,0
613,773.53,0.0,0
614,773.53,0.0,0
615,773.53,0.0,0
616,773.53,0.0,0
617,773.53,0.0,0
618,773.53,0.0,0
619,773.53,0.0,0
620,773.53,0.0,0
621,773.53,0.0,0
622,773.53,0.0,0
623,773.53,0.0,0
624,773.53,0.0,0
625,773.53,0.0,0
626,773.53,0.0,0
627,773.53,0.0,0
628,773.53,0.0,0
629,773.53,0.0,0
630,773.53,0.0,0
631,773.53,0.0,0
632,773.53,0.0,0
633,773.53,0.0,0
634,773.53,0.0,0
635,773.53,0.0,0
636,773.53,0.0,0
637,773.53,0.0,0
638,773.53,0.0,0
639,773.53,0.0,0
640,773.53,0.0,0
641,773.53,0.0,0
642,773.53,0.0,0
643,773.53,0.0,0
644,773.53,0.0,0
645,773.53,0.0,0
646,773.53,0.0,0
647,773.53,0.0,0
648,773.53,0.0,0
649,773.53,0.0,0
650,773.53,0.0,0
651,773.53,0.0,0
652,773.53,0.0,0
653,773.53,0.0,0
654,773.53,0.0,0
655,773.53,0.0,0
656,773.53,0.0,0
657,773.53,0.0,0
658,773.53,0.0,0
659,773.53,0.0,0
660,773.53,0.0,0
661,773.53,0.0,0
662,773.53,0.0,0
663,773.53,0.0,0
664,773.53,0.0,0
665,773.53,0.0,0
666,773.53,0.0,0
667,773.53,0.0,0
