trades,wr_1R,wr_1_5R,wr_2R,avg_r_1R,avg_r_1_5R,avg_r_2R,pf_1R,pf_1_5R,pf_2R,max_dd_1R,max_dd_1_5R,max_dd_2R,avg_risk,avg_mfe,avg_mae,test_type,feature_set,quality_score
3877,78.51,63.58,53.0,0.57,0.59,0.59,3.654,2.619,2.256,-5.0,-8.0,-9.0,14.99,49.32,-15.78,triple,has_liq_sweep + ifvg_proxy + fvg_size_ge_2,533.41
4622,62.61,50.43,41.43,0.252,0.261,0.243,1.675,1.526,1.415,-14.0,-25.0,-35.0,12.66,34.0,-15.04,triple,has_liq_sweep + body_lt_60 + rel_vol_ge_1_25,274.31
20973,62.06,49.5,40.6,0.241,0.238,0.218,1.636,1.47,1.367,-17.0,-35.5,-57.0,10.29,27.95,-12.21,triple,has_liq_sweep + body_lt_60 + risk_le_20,264.26
15137,61.15,48.65,40.05,0.223,0.216,0.202,1.574,1.421,1.336,-16.0,-38.0,-56.0,14.68,37.07,-16.68,triple,has_liq_sweep + body_lt_60 + fvg_size_ge_2,256.85
9000,44.8,35.71,29.21,-0.104,-0.107,-0.124,0.812,0.833,0.825,-941.0,-976.0,-1125.0,10.25,20.09,-14.29,triple,has_liq_sweep + rel_vol_ge_1_25 + risk_le_20,-1255.9
7191,45.0,36.03,29.8,-0.1,-0.099,-0.106,0.818,0.845,0.849,-724.0,-716.0,-763.0,14.52,28.37,-18.69,triple,has_liq_sweep + rel_vol_ge_1_25 + fvg_size_ge_2,-929.2
22345,50.43,40.19,33.01,0.009,0.005,-0.01,1.017,1.008,0.986,-236.0,-289.5,-445.0,11.43,25.0,-14.14,triple,has_liq_sweep + risk_le_20 + fvg_size_ge_2,-160.97
1389,85.89,71.78,60.55,0.718,0.794,0.816,6.087,3.815,3.069,-4.0,-6.0,-8.0,12.01,45.68,-12.81,triple,ifvg_proxy + body_lt_60 + rel_vol_ge_1_25,800.39
7712,79.62,64.28,52.92,0.592,0.607,0.588,3.906,2.699,2.248,-6.0,-14.5,-16.0,10.09,34.76,-11.4,triple,ifvg_proxy + body_lt_60 + risk_le_20,560.42
5015,77.23,61.69,50.77,0.545,0.542,0.523,3.391,2.416,2.062,-5.0,-14.0,-18.0,14.35,44.69,-15.26,triple,ifvg_proxy + body_lt_60 + fvg_size_ge_2,503.33
1421,88.67,74.88,63.41,0.773,0.872,0.902,7.826,4.471,3.465,-3.0,-6.0,-8.0,10.0,41.25,-10.93,triple,ifvg_proxy + rel_vol_ge_1_25 + risk_le_20,984.07
987,85.31,71.53,62.31,0.706,0.788,0.869,5.807,3.769,3.306,-4.0,-5.5,-8.0,14.02,53.87,-14.25,triple,ifvg_proxy + rel_vol_ge_1_25 + fvg_size_ge_2,770.61
4504,79.31,64.25,53.64,0.586,0.606,0.609,3.833,2.696,2.314,-5.0,-7.5,-11.0,11.43,38.98,-12.47,triple,ifvg_proxy + risk_le_20 + fvg_size_ge_2,553.71
5939,63.16,50.51,41.32,0.263,0.263,0.24,1.714,1.531,1.408,-12.0,-21.5,-31.0,9.89,27.46,-12.24,triple,body_lt_60 + rel_vol_ge_1_25 + risk_le_20,282.86
4378,61.67,49.45,41.05,0.233,0.236,0.231,1.609,1.467,1.392,-11.0,-20.5,-29.0,13.91,36.58,-16.35,triple,body_lt_60 + rel_vol_ge_1_25 + fvg_size_ge_2,269.37
17689,61.67,48.93,40.28,0.233,0.223,0.209,1.609,1.437,1.349,-16.0,-45.0,-60.0,11.23,29.54,-13.15,triple,body_lt_60 + risk_le_20 + fvg_size_ge_2,261.87
8423,44.89,35.62,29.5,-0.102,-0.11,-0.115,0.815,0.83,0.837,-864.0,-925.5,-972.0,11.05,21.52,-14.95,triple,rel_vol_ge_1_25 + risk_le_20 + fvg_size_ge_2,-1139.81
