signal_id,signal_time,entry_time,exit_time,year,trade_date,side,fib_entry,target_r,entry_price,stop_price,target_price,risk_points,result,pnl_points,bars_held,mfe_points,mae_points,exit_reason,orb_high,orb_low,signal_open,signal_high,signal_low,signal_close,signal_volume,body_pct,bias15,ema200,vwap
224,2024-08-22T10:50:00.000000,,,2024,2024-08-22,SHORT,fib50,2.0,19756.875,19793.75,19683.125,36.875,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,19916.5,19869.25,19788.25,19793.75,19720.0,19722.75,8502.0,88.8135593220339,-1,19893.879326768198,19865.88235865474
226,2024-08-28T09:10:00.000000,2024-08-28T09:35:00.000000,2024-08-28T09:35:00.000000,2024,2024-08-28,SHORT,fib382,1.0,19406.131,19436.5,19375.762000000002,30.368999999998778,WIN,30.368999999998778,1,32.88100000000122,-0.8689999999987776,target,19592.75,19498.25,19435.5,19436.5,19357.0,19361.25,12763.0,93.39622641509435,-1,19613.985714838615,19549.20506834858
226,2024-08-28T09:10:00.000000,2024-08-28T09:35:00.000000,2024-08-28T10:00:00.000000,2024,2024-08-28,SHORT,fib382,1.5,19406.131,19436.5,19360.577500000003,30.368999999998778,LOSS,-30.368999999998778,6,32.88100000000122,-34.86899999999878,stop,19592.75,19498.25,19435.5,19436.5,19357.0,19361.25,12763.0,93.39622641509435,-1,19613.985714838615,19549.20506834858
226,2024-08-28T09:10:00.000000,2024-08-28T09:35:00.000000,2024-08-28T10:00:00.000000,2024,2024-08-28,SHORT,fib382,2.0,19406.131,19436.5,19345.393000000004,30.368999999998778,LOSS,-30.368999999998778,6,32.88100000000122,-34.86899999999878,stop,19592.75,19498.25,19435.5,19436.5,19357.0,19361.25,12763.0,93.39622641509435,-1,19613.985714838615,19549.20506834858
226,2024-08-28T09:10:00.000000,2024-08-28T09:35:00.000000,2024-08-28T10:00:00.000000,2024,2024-08-28,SHORT,fib50,1.0,19396.75,19436.5,19357.0,39.75,LOSS,-39.75,6,23.5,-44.25,stop,19592.75,19498.25,19435.5,19436.5,19357.0,19361.25,12763.0,93.39622641509435,-1,19613.985714838615,19549.20506834858
226,2024-08-28T09:10:00.000000,2024-08-28T09:35:00.000000,2024-08-28T10:00:00.000000,2024,2024-08-28,SHORT,fib50,1.5,19396.75,19436.5,19337.125,39.75,LOSS,-39.75,6,23.5,-44.25,stop,19592.75,19498.25,19435.5,19436.5,19357.0,19361.25,12763.0,93.39622641509435,-1,19613.985714838615,19549.20506834858
226,2024-08-28T09:10:00.000000,2024-08-28T09:35:00.000000,2024-08-28T10:00:00.000000,2024,2024-08-28,SHORT,fib50,2.0,19396.75,19436.5,19317.25,39.75,LOSS,-39.75,6,23.5,-44.25,stop,19592.75,19498.25,19435.5,19436.5,19357.0,19361.25,12763.0,93.39622641509435,-1,19613.985714838615,19549.20506834858
236,2024-11-14T09:15:00.000000,2024-11-14T09:25:00.000000,2024-11-14T09:25:00.000000,2024,2024-11-14,SHORT,fib382,1.0,21082.833,21109.0,21056.665999999997,26.16700000000128,WIN,26.16700000000128,1,29.08299999999872,-19.16700000000128,target,21174.75,21079.0,21106.5,21109.0,21040.5,21041.0,9732.0,95.62043795620438,-1,21147.193399045744,21121.686979584094
236,2024-11-14T09:15:00.000000,2024-11-14T09:25:00.000000,2024-11-14T09:35:00.000000,2024,2024-11-14,SHORT,fib382,1.5,21082.833,21109.0,21043.582499999997,26.16700000000128,LOSS,-26.16700000000128,3,29.08299999999872,-32.16700000000128,stop,21174.75,21079.0,21106.5,21109.0,21040.5,21041.0,9732.0,95.62043795620438,-1,21147.193399045744,21121.686979584094
236,2024-11-14T09:15:00.000000,2024-11-14T09:25:00.000000,2024-11-14T09:35:00.000000,2024,2024-11-14,SHORT,fib382,2.0,21082.833,21109.0,21030.498999999996,26.16700000000128,LOSS,-26.16700000000128,3,29.08299999999872,-32.16700000000128,stop,21174.75,21079.0,21106.5,21109.0,21040.5,21041.0,9732.0,95.62043795620438,-1,21147.193399045744,21121.686979584094
236,2024-11-14T09:15:00.000000,2024-11-14T09:25:00.000000,2024-11-14T09:35:00.000000,2024,2024-11-14,SHORT,fib50,1.0,21074.75,21109.0,21040.5,34.25,LOSS,-34.25,3,21.0,-40.25,stop,21174.75,21079.0,21106.5,21109.0,21040.5,21041.0,9732.0,95.62043795620438,-1,21147.193399045744,21121.686979584094
236,2024-11-14T09:15:00.000000,2024-11-14T09:25:00.000000,2024-11-14T09:35:00.000000,2024,2024-11-14,SHORT,fib50,1.5,21074.75,21109.0,21023.375,34.25,LOSS,-34.25,3,21.0,-40.25,stop,21174.75,21079.0,21106.5,21109.0,21040.5,21041.0,9732.0,95.62043795620438,-1,21147.193399045744,21121.686979584094
236,2024-11-14T09:15:00.000000,2024-11-14T09:25:00.000000,2024-11-14T09:35:00.000000,2024,2024-11-14,SHORT,fib50,2.0,21074.75,21109.0,21006.25,34.25,LOSS,-34.25,3,21.0,-40.25,stop,21174.75,21079.0,21106.5,21109.0,21040.5,21041.0,9732.0,95.62043795620438,-1,21147.193399045744,21121.686979584094
262,2024-12-31T14:50:00.000000,,,2024,2024-12-31,SHORT,fib382,1.0,21259.131,21289.5,21228.762000000002,30.368999999998778,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,21488.5,21368.0,21289.0,21289.5,21210.0,21211.75,10012.0,97.16981132075472,-1,21367.351913157705,21334.006396525554
262,2024-12-31T14:50:00.000000,,,2024,2024-12-31,SHORT,fib382,1.5,21259.131,21289.5,21213.577500000003,30.368999999998778,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,21488.5,21368.0,21289.0,21289.5,21210.0,21211.75,10012.0,97.16981132075472,-1,21367.351913157705,21334.006396525554
262,2024-12-31T14:50:00.000000,,,2024,2024-12-31,SHORT,fib382,2.0,21259.131,21289.5,21198.393000000004,30.368999999998778,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,21488.5,21368.0,21289.0,21289.5,21210.0,21211.75,10012.0,97.16981132075472,-1,21367.351913157705,21334.006396525554
262,2024-12-31T14:50:00.000000,,,2024,2024-12-31,SHORT,fib50,1.0,21249.75,21289.5,21210.0,39.75,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,21488.5,21368.0,21289.0,21289.5,21210.0,21211.75,10012.0,97.16981132075472,-1,21367.351913157705,21334.006396525554
262,2024-12-31T14:50:00.000000,,,2024,2024-12-31,SHORT,fib50,1.5,21249.75,21289.5,21190.125,39.75,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,21488.5,21368.0,21289.0,21289.5,21210.0,21211.75,10012.0,97.16981132075472,-1,21367.351913157705,21334.006396525554
262,2024-12-31T14:50:00.000000,,,2024,2024-12-31,SHORT,fib50,2.0,21249.75,21289.5,21170.25,39.75,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,21488.5,21368.0,21289.0,21289.5,21210.0,21211.75,10012.0,97.16981132075472,-1,21367.351913157705,21334.006396525554
269,2025-01-08T13:05:00.000000,2025-01-08T13:10:00.000000,2025-01-08T13:10:00.000000,2025,2025-01-08,LONG,fib382,1.0,21344.7145,21314.25,21375.178999999996,30.464499999998225,WIN,30.464499999998225,1,46.285500000001775,-20.964499999998225,target,21384.75,21289.75,21314.25,21394.0,21314.25,21390.75,9500.0,95.92476489028213,1,21372.089826263793,21327.495931234844
269,2025-01-08T13:05:00.000000,2025-01-08T13:10:00.000000,2025-01-08T13:10:00.000000,2025,2025-01-08,LONG,fib382,1.5,21344.7145,21314.25,21390.411249999997,30.464499999998225,WIN,45.69674999999734,1,46.285500000001775,-20.964499999998225,target,21384.75,21289.75,21314.25,21394.0,21314.25,21390.75,9500.0,95.92476489028213,1,21372.089826263793,21327.495931234844
269,2025-01-08T13:05:00.000000,2025-01-08T13:10:00.000000,2025-01-08T13:25:00.000000,2025,2025-01-08,LONG,fib382,2.0,21344.7145,21314.25,21405.643499999995,30.464499999998225,WIN,60.92899999999645,4,87.03550000000178,-20.964499999998225,target,21384.75,21289.75,21314.25,21394.0,21314.25,21390.75,9500.0,95.92476489028213,1,21372.089826263793,21327.495931234844
269,2025-01-08T13:05:00.000000,2025-01-08T13:10:00.000000,2025-01-08T13:20:00.000000,2025,2025-01-08,LONG,fib50,1.0,21354.125,21314.25,21394.0,39.875,WIN,39.875,3,45.875,-30.375,target,21384.75,21289.75,21314.25,21394.0,21314.25,21390.75,9500.0,95.92476489028213,1,21372.089826263793,21327.495931234844
269,2025-01-08T13:05:00.000000,2025-01-08T13:10:00.000000,2025-01-08T13:25:00.000000,2025,2025-01-08,LONG,fib50,1.5,21354.125,21314.25,21413.9375,39.875,WIN,59.8125,4,77.625,-30.375,target,21384.75,21289.75,21314.25,21394.0,21314.25,21390.75,9500.0,95.92476489028213,1,21372.089826263793,21327.495931234844
