ts,symbol,close,prev_symbol,prev_close,gap_minutes,close_change,symbol_changed
2021-10-10T22:00:00.000000,NQZ1,14821.0,NQZ1,14805.5,2941.0,15.5,false
2021-10-11T22:00:00.000000,NQZ1,14694.0,NQZ1,14685.0,61.0,9.0,false
2021-10-12T22:00:00.000000,NQZ1,14596.75,NQZ1,14597.25,61.0,-0.5,false
2021-10-13T22:00:00.000000,NQZ1,14773.5,NQZ1,14767.75,61.0,5.75,false
2021-10-14T22:00:00.000000,NQZ1,15059.5,NQZ1,15065.0,61.0,-5.5,false
2021-10-17T22:00:00.000000,NQZ1,15161.0,NQZ1,15144.25,2941.0,16.75,false
2021-10-18T22:00:00.000000,NQZ1,15288.25,NQZ1,15288.75,61.0,-0.5,false
2021-10-19T22:00:00.000000,NQZ1,15405.25,NQZ1,15410.75,61.0,-5.5,false
2021-10-20T22:00:00.000000,NQZ1,15360.0,NQZ1,15357.75,61.0,2.25,false
2021-10-21T22:00:00.000000,NQZ1,15378.0,NQZ1,15381.25,61.0,-3.25,false
2021-10-24T22:00:00.000000,NQZ1,15317.0,NQZ1,15324.0,2941.0,-7.0,false
2021-10-25T22:00:00.000000,NQZ1,15529.5,NQZ1,15543.75,61.0,-14.25,false
2021-10-26T22:00:00.000000,NQZ1,15532.75,NQZ1,15522.75,61.0,10.0,false
2021-10-27T22:00:00.000000,NQZ1,15601.25,NQZ1,15593.0,61.0,8.25,false
2021-10-28T22:00:00.000000,NQZ1,15685.75,NQZ1,15670.0,61.0,15.75,false
2021-10-31T22:00:00.000000,NQZ1,15884.75,NQZ1,15864.0,2941.0,20.75,false
2021-11-01T22:00:00.000000,NQZ1,15884.25,NQZ1,15887.75,61.0,-3.5,false
2021-11-02T22:00:00.000000,NQZ1,15951.25,NQZ1,15959.25,61.0,-8.0,false
2021-11-03T22:00:00.000000,NQZ1,16132.5,NQZ1,16130.5,61.0,2.0,false
2021-11-04T22:00:00.000000,NQZ1,16332.0,NQZ1,16338.25,61.0,-6.25,false
2021-11-07T23:00:00.000000,NQZ1,16308.0,NQZ1,16344.75,3001.0,-36.75,false
2021-11-08T23:00:00.000000,NQZ1,16317.25,NQZ1,16322.75,61.0,-5.5,false
2021-11-09T23:00:00.000000,NQZ1,16194.25,NQZ1,16197.25,61.0,-3.0,false
2021-11-10T23:00:00.000000,NQZ1,15992.0,NQZ1,15986.25,61.0,5.75,false
2021-11-11T23:00:00.000000,NQZ1,16041.0,NQZ1,16036.25,61.0,4.75,false
2021-11-14T23:00:00.000000,NQZ1,16224.75,NQZ1,16200.0,2941.0,24.75,false
2021-11-15T23:00:00.000000,NQZ1,16196.75,NQZ1,16196.25,61.0,0.5,false
2021-11-16T23:00:00.000000,NQZ1,16301.25,NQZ1,16294.25,61.0,7.0,false
2021-11-17T23:00:00.000000,NQZ1,16327.75,NQZ1,16322.25,61.0,5.5,false
2021-11-18T23:00:00.000000,NQZ1,16496.5,NQZ1,16505.5,61.0,-9.0,false
2021-11-21T23:00:00.000000,NQZ1,16611.75,NQZ1,16588.25,2941.0,23.5,false
2021-11-22T23:00:00.000000,NQZ1,16403.0,NQZ1,16398.5,61.0,4.5,false
2021-11-23T23:00:00.000000,NQZ1,16303.0,NQZ1,16298.0,61.0,5.0,false
2021-11-24T23:00:00.000000,NQZ1,16357.0,NQZ1,16354.75,61.0,2.25,false
2021-11-25T23:00:00.000000,NQZ1,16410.5,NQZ1,16404.5,301.0,6.0,false
2021-11-28T23:00:00.000000,NQZ1,16093.25,NQZ1,16043.5,3166.0,49.75,false
2021-11-29T23:00:00.000000,NQZ1,16416.5,NQZ1,16413.75,61.0,2.75,false
2021-11-30T23:00:00.000000,NQZ1,16254.75,NQZ1,16238.25,61.0,16.5,false
2021-12-01T23:00:00.000000,NQZ1,15909.75,NQZ1,15858.75,61.0,51.0,false
2021-12-02T23:00:00.000000,NQZ1,16018.0,NQZ1,16016.5,61.0,1.5,false
2021-12-05T23:00:00.000000,NQZ1,15694.25,NQZ1,15687.5,2941.0,6.75,false
2021-12-06T23:00:00.000000,NQZ1,15857.25,NQZ1,15849.25,61.0,8.0,false
2021-12-07T23:00:00.000000,NQZ1,16359.5,NQZ1,16366.75,61.0,-7.25,false
2021-12-08T23:00:00.000000,NQZ1,16381.5,NQZ1,16382.5,61.0,-1.0,false
2021-12-09T23:00:00.000000,NQZ1,16164.0,NQZ1,16154.5,61.0,9.5,false
2021-12-12T23:00:00.000000,NQH2,16338.0,NQH2,16324.0,2941.0,14.0,false
