stage,signal_time,entry_time,date,entry,signal_high,signal_low,signal_close,stop,target,exit_price,exit_time,outcome,risk_points,pnl_points,rr,mfe,mae
step1_market,2025-08-08 09:35:00,2025-08-08 09:36:00,2025-08-08,23632.0,23652.75,23630.25,23631.25,23654.75,23586.5,23654.75,2025-08-08 09:50:00,loss,22.75,-22.75,-1.0,20.0,-25.75
step1_market,2025-08-08 11:01:00,2025-08-08 11:02:00,2025-08-08,23662.0,23673.75,23659.5,23662.0,23675.75,23634.5,23675.75,2025-08-08 11:04:00,loss,13.75,-13.75,-1.0,2.75,-20.0
step1_market,2025-08-13 08:31:00,2025-08-13 08:32:00,2025-08-13,23947.5,23968.5,23946.25,23947.25,23970.5,23901.5,23970.5,2025-08-13 08:44:00,loss,23.0,-23.0,-1.0,5.25,-25.75
step1_market,2025-08-13 10:50:00,2025-08-13 10:51:00,2025-08-13,23889.75,23903.5,23886.0,23889.75,23905.5,23858.25,23905.5,2025-08-13 10:52:00,loss,15.75,-15.75,-1.0,0.0,-17.75
step1_market,2025-08-14 09:25:00,2025-08-14 09:26:00,2025-08-14,23880.5,23910.25,23880.0,23880.75,23912.25,23817.0,23912.25,2025-08-14 09:47:00,loss,31.75,-31.75,-1.0,17.5,-37.0
step1_market,2025-08-14 10:11:00,2025-08-14 10:12:00,2025-08-14,23877.25,23896.0,23876.75,23877.25,23898.0,23835.75,23898.0,2025-08-14 10:21:00,loss,20.75,-20.75,-1.0,12.5,-29.5
step1_market,2025-08-14 10:14:00,2025-08-14 10:15:00,2025-08-14,23867.0,23884.75,23864.75,23867.0,23886.75,23827.5,23886.75,2025-08-14 10:16:00,loss,19.75,-19.75,-1.0,2.25,-19.75
step1_market,2025-08-14 10:36:00,2025-08-14 10:37:00,2025-08-14,23896.5,23915.0,23893.75,23896.5,23917.0,23855.5,23917.0,2025-08-14 10:47:00,loss,20.5,-20.5,-1.0,8.5,-21.25
step1_market,2025-08-14 10:42:00,2025-08-14 10:43:00,2025-08-14,23890.0,23907.75,23888.0,23889.5,23909.75,23850.5,23909.75,2025-08-14 10:46:00,loss,19.75,-19.75,-1.0,2.0,-24.0
step1_market,2025-08-15 09:22:00,2025-08-15 09:23:00,2025-08-15,23808.0,23827.5,23807.75,23808.5,23829.5,23765.0,23765.0,2025-08-15 09:40:00,win,21.5,43.0,2.0,48.0,-11.25
step1_market,2025-08-15 09:42:00,2025-08-15 09:43:00,2025-08-15,23749.5,23772.25,23747.25,23749.0,23774.25,23700.0,23774.25,2025-08-15 09:49:00,loss,24.75,-24.75,-1.0,15.0,-31.0
step1_market,2025-08-18 08:46:00,2025-08-18 08:47:00,2025-08-18,23731.0,23749.75,23729.25,23730.5,23751.75,23689.5,23751.75,2025-08-18 08:50:00,loss,20.75,-20.75,-1.0,12.0,-28.0
