signal_time,entry_time,trade_date,year,month,hour,minute,side,entry_price,stop_price,target_price,risk_points,result_points,result_rr,exit_reason,bars_held,fill_bars,mfe_points,mae_points,signal_high,signal_low,signal_close,range_expansion,rel_volume
2024-09-23T10:15:00.000000,2024-09-23T10:16:00.000000,2024-09-23,2024,2024-09,10,16,short,20058.44,20066.75,20041.81,8.31,-8.31,-1.0,stop,2,1,13.69,-21.56,20064.75,20039.5,20046.5,2.1174,3.0755
2024-10-02T10:59:00.000000,2024-10-02T11:00:00.000000,2024-10-02,2024,2024-10,11,0,short,19997.06,20005.5,19980.19,8.44,-8.44,-1.0,stop_same_bar,1,1,22.31,-8.94,20003.5,19977.75,19980.5,2.1845,2.7872
2024-10-24T09:05:00.000000,2024-10-24T09:06:00.000000,2024-10-24,2024,2024-10,9,6,short,20324.0,20332.5,20307.0,8.5,-8.5,-1.0,stop,4,1,12.5,-15.25,20330.5,20304.5,20311.5,1.9224,1.4687
2024-11-11T08:32:00.000000,2024-11-11T08:33:00.000000,2024-11-11,2024,2024-11,8,33,short,21280.31,21289.0,21262.94,8.69,-8.69,-1.0,stop_same_bar,1,1,19.06,-12.19,21287.0,21260.25,21261.25,3.4076,4.0716
2024-11-13T09:35:00.000000,2024-11-13T09:36:00.000000,2024-11-13,2024,2024-11,9,36,short,21122.44,21131.25,21104.81,8.81,-8.81,-1.0,stop,1,1,15.94,-15.31,21129.25,21102.0,21108.0,1.6731,1.6412
2024-11-14T09:19:00.000000,2024-11-14T09:20:00.000000,2024-11-14,2024,2024-11,9,20,short,21064.88,21075.0,21044.62,10.12,20.25,2.0,target,1,1,24.12,-3.38,21073.0,21040.5,21041.0,1.9132,3.4212
2024-11-20T08:33:00.000000,2024-11-20T08:34:00.000000,2024-11-20,2024,2024-11,8,34,short,20733.44,20741.75,20716.81,8.31,16.62,2.0,target,1,1,20.69,-0.06,20739.75,20714.5,20716.5,2.016,2.4927
2024-11-22T09:22:00.000000,2024-11-22T09:23:00.000000,2024-11-22,2024,2024-11,9,23,short,20769.19,20780.5,20746.56,11.31,-11.31,-1.0,stop_same_bar,1,1,26.44,-15.31,20778.5,20741.25,20743.5,1.6491,1.1798
2024-12-23T09:02:00.000000,2024-12-23T09:03:00.000000,2024-12-23,2024,2024-12,9,3,short,21612.06,21627.0,21582.19,14.94,29.88,2.0,target,3,1,46.31,-9.44,21625.0,21573.25,21583.75,1.7625,1.1586
2025-01-02T08:39:00.000000,2025-01-02T08:40:00.000000,2025-01-02,2025,2025-01,8,40,short,21202.06,21213.75,21178.69,11.69,23.38,2.0,target,1,1,35.56,-6.69,21211.75,21173.0,21176.25,1.5523,1.4742
2025-01-07T08:39:00.000000,2025-01-07T08:40:00.000000,2025-01-07,2025,2025-01,8,40,short,21720.38,21730.75,21699.62,10.38,20.75,2.0,target,1,1,24.62,-1.38,21728.75,21695.25,21701.75,2.012,1.7546
2025-01-16T08:37:00.000000,2025-01-16T08:38:00.000000,2025-01-16,2025,2025-01,8,38,short,21434.88,21443.75,21417.12,8.88,17.75,2.0,target,1,1,27.12,-7.62,21441.75,21414.25,21417.5,1.7586,1.7784
2025-01-29T08:34:00.000000,2025-01-29T08:35:00.000000,2025-01-29,2025,2025-01,8,35,short,21555.12,21564.5,21536.38,9.38,-9.38,-1.0,stop_same_bar,1,1,19.88,-11.88,21562.5,21533.0,21537.75,2.508,2.3395
2025-01-29T08:37:00.000000,2025-01-29T08:38:00.000000,2025-01-29,2025,2025-01,8,38,short,21547.88,21557.0,21529.62,9.12,-9.12,-1.0,stop,2,1,17.62,-11.12,21555.0,21526.5,21532.0,1.9388,1.7814
2025-01-30T10:14:00.000000,2025-01-30T10:15:00.000000,2025-01-30,2025,2025-01,10,15,short,21448.56,21460.25,21425.19,11.69,-11.69,-1.0,stop,4,1,22.81,-15.69,21458.25,21419.5,21425.5,1.7684,2.2358
2025-02-07T10:46:00.000000,2025-02-07T10:47:00.000000,2025-02-07,2025,2025-02,10,47,short,21651.5,21663.25,21628.0,11.75,23.5,2.0,target,1,1,28.5,-0.5,21661.25,21622.25,21625.0,1.8087,1.8377
2025-02-12T10:22:00.000000,2025-02-12T10:23:00.000000,2025-02-12,2025,2025-02,10,23,short,21675.56,21684.25,21658.19,8.69,17.38,2.0,target,1,1,19.81,-4.44,21682.25,21655.5,21656.5,1.7512,1.4245
2025-02-25T08:31:00.000000,2025-02-25T08:32:00.000000,2025-02-25,2025,2025-02,8,32,short,21363.56,21376.0,21338.69,12.44,24.88,2.0,target,1,1,28.31,-0.19,21374.0,21332.25,21335.75,3.3367,4.7509
2025-02-26T08:30:00.000000,2025-02-26T08:31:00.000000,2025-02-26,2025,2025-02,8,31,short,21228.75,21242.75,21200.75,14.0,28.0,2.0,target,1,1,36.5,-10.5,21240.75,21192.75,21193.25,3.2765,5.731
2025-02-28T08:34:00.000000,2025-02-28T08:35:00.000000,2025-02-28,2025,2025-02,8,35,short,20489.19,20500.75,20466.06,11.56,-11.56,-1.0,stop_same_bar,1,1,24.69,-57.06,20498.75,20460.5,20465.25,1.7259,2.0797
2025-03-03T08:30:00.000000,2025-03-03T08:31:00.000000,2025-03-03,2025,2025-03,8,31,short,21051.44,21062.75,21028.81,11.31,-11.31,-1.0,stop_same_bar,1,1,23.44,-18.06,21060.75,21023.5,21027.75,3.6209,7.3664
2025-04-15T10:57:00.000000,2025-04-15T10:58:00.000000,2025-04-15,2025,2025-04,10,58,short,18963.75,18972.5,18946.25,8.75,17.5,2.0,target,1,1,19.0,-4.0,18970.5,18943.5,18950.0,1.5906,1.8744
2025-04-28T08:41:00.000000,2025-04-28T08:42:00.000000,2025-04-28,2025,2025-04,8,42,short,19506.31,19519.0,19480.94,12.69,-12.69,-1.0,stop,2,1,23.31,-16.94,19517.0,19474.25,19486.25,1.8417,1.3571
2025-05-01T10:16:00.000000,2025-05-01T10:17:00.000000,2025-05-01,2025,2025-05,10,17,short,19940.12,19950.5,19919.38,10.38,-10.38,-1.0,stop_same_bar,1,1,30.12,-10.62,19948.5,19915.0,19915.25,1.6391,1.8521
2025-05-08T08:55:00.000000,2025-05-08T08:56:00.000000,2025-05-08,2025,2025-05,8,56,short,20015.75,20030.0,19987.25,14.25,28.5,2.0,target,1,1,33.75,-8.25,20028.0,19979.0,19989.75,1.9225,1.6413
2025-05-16T08:44:00.000000,2025-05-16T08:45:00.000000,2025-05-16,2025,2025-05,8,45,short,21342.88,21351.75,21325.12,8.88,-8.88,-1.0,stop_same_bar,1,1,22.62,-13.12,21349.75,21322.25,21326.75,1.7945,1.66
2025-06-05T10:52:00.000000,2025-06-05T10:53:00.000000,2025-06-05,2025,2025-06,10,53,short,21709.06,21724.0,21679.19,14.94,-14.94,-1.0,stop,2,1,28.81,-16.44,21722.0,21670.25,21686.0,2.7006,2.573
2025-06-23T10:36:00.000000,2025-06-23T10:37:00.000000,2025-06-23,2025,2025-06,10,37,short,21795.5,21808.75,21769.0,13.25,26.5,2.0,target,1,1,57.25,-7.75,21806.75,21761.75,21764.5,2.4242,1.7889
2025-07-09T08:36:00.000000,2025-07-09T08:37:00.000000,2025-07-09,2025,2025-07,8,37,short,22985.38,22995.0,22966.12,9.62,-9.62,-1.0,stop,2,1,17.62,-13.12,22993.0,22962.5,22971.25,2.1144,2.3223
2025-07-16T08:58:00.000000,2025-07-16T08:59:00.000000,2025-07-16,2025,2025-07,8,59,short,22985.12,22994.5,22966.38,9.38,-9.38,-1.0,stop_same_bar,1,1,19.38,-9.62,22992.5,22963.0,22966.75,1.5157,1.3089
