label,trades,wins,losses,winrate,net_points,avg_trade,profit_factor,max_dd,first_trade,last_trade
premarket_range_lt_q75_139.75,38,30,8,78.95,483.07,12.71,8.42,-15.5,2018-10-12 10:09:00,2026-02-18 08:35:00
risk_points_gt_q20_6.81,39,31,8,79.49,543.12,13.93,8.35,-21.69,2020-02-21 08:50:00,2026-03-18 10:36:00
dist_or_high_30m_gt_q50_-89.5,25,20,5,80.0,281.56,11.26,8.25,-23.94,2020-06-26 08:51:00,2026-03-18 10:36:00
risk_points_gt_q25_7.0,38,30,8,78.95,529.12,13.92,8.16,-21.69,2020-02-21 08:50:00,2026-03-18 10:36:00
hour_8_only,28,22,6,78.57,366.5,13.09,8.12,-15.5,2020-02-21 08:50:00,2026-03-16 08:48:00
atr_high_relvol_low,28,22,6,78.57,370.38,13.23,8.09,-16.88,2020-02-21 08:50:00,2026-03-18 10:36:00
dist_ema_20_gt_q50_-36.40123,25,20,5,80.0,273.33,10.93,8.09,-15.5,2018-10-12 10:09:00,2026-02-10 10:10:00
range_expansion_20_gt_q30_1.64358,36,28,8,77.78,467.68,12.99,8.01,-17.13,2018-10-12 10:09:00,2026-03-18 10:36:00
dist_dol_lt_q80_54.25,41,32,9,78.05,528.13,12.88,7.99,-21.69,2018-10-12 10:09:00,2026-03-18 10:36:00
premarket_range_gt_q20_59.75,40,31,9,77.5,521.95,13.05,7.92,-21.69,2020-03-20 10:10:00,2026-03-18 10:36:00
prior_day_range_gt_q20_139.75,41,32,9,78.05,543.06,13.25,7.91,-21.75,2018-10-12 10:09:00,2026-03-18 10:36:00
dist_pdl_lt_q50_141.0,26,20,6,76.92,312.46,12.02,7.88,-16.88,2020-02-21 08:50:00,2025-11-04 10:41:00
dist_ema_50_gt_q40_-56.94817,31,25,6,80.65,338.38,10.92,7.79,-15.5,2018-10-12 10:09:00,2026-03-18 10:36:00
atr_14_gt_q60_15.66071,20,15,5,75.0,299.44,14.97,7.79,-10.38,2020-03-20 10:10:00,2026-03-16 08:48:00
risk_points_gt_q30_7.31,36,28,8,77.78,499.88,13.89,7.77,-21.69,2020-02-21 08:50:00,2026-03-18 10:36:00
premarket_range_lt_q80_148.5,41,32,9,78.05,510.19,12.44,7.76,-21.69,2018-10-12 10:09:00,2026-02-18 08:35:00
or_range_30m_gt_q40_84.0,31,24,7,77.42,429.95,13.87,7.76,-21.69,2020-02-21 08:50:00,2026-03-16 08:48:00
atr_14_gt_q50_14.89286,25,19,6,76.0,353.5,14.14,7.76,-16.88,2020-03-20 10:10:00,2026-03-16 08:48:00
prior_day_range_gt_q40_182.75,31,24,7,77.42,420.06,13.55,7.58,-21.69,2018-10-12 10:09:00,2026-03-16 08:48:00
dist_ema_20_gt_q60_-31.43875,20,16,4,80.0,208.64,10.43,7.57,-13.25,2018-10-12 10:09:00,2026-02-10 10:10:00
atr_14_gt_q20_10.83929,41,31,10,75.61,529.38,12.91,7.55,-20.06,2020-02-21 08:50:00,2026-03-18 10:36:00
dist_pdl_lt_q80_334.0,41,31,10,75.61,503.38,12.28,7.38,-23.94,2018-10-12 10:09:00,2026-03-18 10:36:00
dist_or_high_30m_gt_q30_-132.75,36,28,8,77.78,401.44,11.15,7.35,-23.94,2018-10-12 10:09:00,2026-03-18 10:36:00
dist_ema_50_lt_q80_-31.63032,41,31,10,75.61,519.68,12.68,7.33,-21.69,2018-10-12 10:09:00,2026-03-18 10:36:00
prior_day_range_gt_q25_145.75,38,29,9,76.32,495.31,13.03,7.3,-21.75,2018-10-12 10:09:00,2026-03-16 08:48:00
range_expansion_20_gt_q50_1.8107,25,19,6,76.0,322.93,12.92,7.28,-17.13,2018-10-12 10:09:00,2026-03-18 10:36:00
dist_ema_50_lt_q50_-47.61934,26,19,7,73.08,359.74,13.84,7.27,-16.88,2020-02-21 08:50:00,2026-03-18 10:36:00
atr_50_gt_q25_8.77,38,29,9,76.32,492.21,12.95,7.26,-21.69,2018-10-12 10:09:00,2026-03-18 10:36:00
or_range_30m_gt_q25_68.0,38,29,9,76.32,491.94,12.95,7.26,-23.94,2020-02-21 08:50:00,2026-03-16 08:48:00
dist_or_low_30m_lt_q75_45.25,38,29,9,76.32,460.37,12.12,7.24,-21.75,2018-10-12 10:09:00,2026-03-18 10:36:00
prior_day_range_gt_q50_210.75,25,19,6,76.0,343.38,13.74,7.23,-21.69,2020-03-20 10:10:00,2026-03-16 08:48:00
rel_vol_20_lt_q75_2.53337,38,29,9,76.32,448.5,11.8,7.21,-23.38,2018-10-12 10:09:00,2026-03-18 10:36:00
body_pct_gt_q50_0.84932,25,19,6,76.0,306.11,12.24,7.2,-21.88,2018-10-12 10:09:00,2026-03-18 10:36:00
body_pct_gt_q30_0.79167,36,27,9,75.0,450.68,12.52,7.19,-28.44,2018-10-12 10:09:00,2026-03-18 10:36:00
or_range_30m_gt_q20_67.25,41,31,10,75.61,525.13,12.81,7.16,-23.94,2020-02-21 08:50:00,2026-03-16 08:48:00
